,0,1
635,CHD,0.011889328006057001
636,CHDN,0.0028418695071000004
637,CHE,0.002711031532025
638,CHEF,0.0
639,CHGG,0.0
640,CHH,0.002025384769462
641,CHK,0.0
642,CHMA,0.0
643,CHMG,0.028694194780008002
644,CHMI,0.11887813623215
645,CHRS,0.0
646,CHRW,0.022288200744699
647,CHS,0.032608696947927
648,CHSP,
649,CHTR,0.0
650,CHUY,0.0
651,CI,0.00019582884121100002
652,CIA,0.0
653,CIDM,0.0
654,CIEN,0.0
655,CIM,0.11550287373789501
656,CINF,0.024636503915981003
657,CIO,0.057637987510442
658,CIR,0.0
659,CISN,
660,CIT,0.029292232562616004
661,CIVB,0.022984673518586
662,CIX,0.027521806564575
663,CIZN,0.035353534921186
664,CJ,
665,CKH,0.0
666,CKX,0.0
667,CL,0.022607766398106
668,CLAR,0.0028037811089980003
669,CLB,0.0011394968016410002
670,CLBK,0.0
671,CLBS,0.0
672,CLCT,0.0
673,CLDR,0.0
674,CLDT,0.008681925761953
675,CLDX,0.0
676,CLF,0.0035252643160330003
677,CLFD,0.0
678,CLGX,0.009825161202776002
679,CLH,0.0
680,CLI,0.028782549195860003
681,CLIR,0.0
682,CLNC,0.023277895116368002
683,CLNE,0.0
684,CLNY,0.019713261541927003
685,CLPR,0.048798710434976
686,CLR,0.0
687,CLRB,0.0
688,CLRO,0.0
689,CLSN,0.0
690,CLUB,
691,CLVS,0.0
692,CLW,0.0
693,CLX,0.023291373488112003
694,CLXT,0.0
695,CMA,0.039855111720356
696,CMC,0.020267201564261
697,CMCO,0.00499271467523
698,CMCSA,0.017528090709903
699,CMCT,0.024180902170798
700,CMD,0.0
701,CME,0.017065865405998002
702,CMG,0.0
703,CMI,0.021383938514097003
704,CMO,0.10179703361860701
705,CMP,0.043869004028041
706,CMRX,0.0
707,CMS,0.029304591596074
708,CMT,0.0
709,CMTL,0.013960196044510001
710,CNA,0.033416580941294
711,CNAT,
712,CNBKA,0.007000518986685001
713,CNC,0.0
714,CNCE,0.0
715,CNDT,0.0
716,CNFR,0.0
717,CNK,0.016491067993821003
718,CNMD,0.0065658398810720005
719,CNNE,0.0
720,CNO,0.019529926026763
721,CNOB,0.015528749599716
722,CNP,0.028174802755867003
723,CNR,0.0
724,CNS,0.023337803174783
725,CNSL,0.0
726,CNTY,0.0
727,CNX,0.0
728,CNXN,0.006075564701869001
729,CODA,0.0
730,COF,0.008353429585084001
731,COG,0.021373497574183
732,COHN,0.0
733,COHR,0.0
734,COHU,0.001288383050437
735,COKE,0.00376960375531
